ID,Politican_Similarity,Gender,Age,Affiliation,Study Purpose,Attention Check 1,Attention Check 2,Condition,Proclamation,Perspective,Frame,Voting,Hypocrisy_1,Hypocrisy_2,Hypocrisy_3,Hypocrisy_4,Hypocrisy_5,Honest_frequency,Honest_likelihood,Honest_extreme,Honest_committment,Moral_1,Moral_2,Moral_3
1,no,Female,30,Democrat,unsure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,general,lie,4,7,7,7,7,7,4,1,2,2,2,2,2
2,No,Male,45,Democrat,I don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",9,ambiguous,you,lie,2,6,6,6,6,6,2,2,1,1,1,1,1
4,No politician specifically was brought to mind.,Male,26,Democrat,Perceptions of political candidates and their morality.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,general,lie,2,6,6,5,5,7,5,3,2,2,2,2,2
5,Donald trump,Male,42,Democrat,People's perception of lying,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",10,ambiguous,general,truth,2,6,6,6,6,6,4,4,2,2,2,2,2
6,Trump,Female,44,Democrat,"If it's anything other than the current state of politics, I don't know.",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",8,ambiguous,I,lie,2,5,2,6,7,2,3,1,2,1,1,2,2
7,No,Male,31,Republican,To see what politicians come to mind when talking about them lying,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,2,3,3,4,5,2,3,1,2,1,3,2,2
8,TRUMP,Female,46,Democrat,Politicians and they're morality and honesty.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,general,lie,3,5,6,5,2,5,5,5,4,2,2,3,3
10,Trump,Female,23,Democrat,Beliefs in politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",5,absolute,I,truth,1,5,3,5,4,5,5,3,5,2,3,3,2
12,Hillary Clinton,Male,60,Other,unsure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",6,absolute,you,truth,2,6,6,6,6,6,4,2,1,2,2,2,2
13,no,Female,39,Democrat,no idea,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,absolute,I,lie,2,6,7,6,6,7,3,2,3,1,3,3,2
14,yes,Female,28,Democrat,"to see if I would vote for someone that was a liar, and wasn't honest. I think this was really about the politicians that are in office right now, and I did not vote for them. I did not vote for trump, and I think this has to do with that.",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",7,ambiguous,general,lie,2,6,6,6,6,6,2,2,2,1,1,1,1
15,most of them,Male,33,Other,unknown,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,absolute,I,lie,3,4,5,5,5,7,4,5,5,3,5,5,4
16,no,Female,36,Democrat,to see how we reacted to a candidate lying ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",5,absolute,I,truth,4,5,6,5,6,7,4,2,3,2,4,4,3
17,donald trump,Male,43,Democrat,thoughts on politics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,absolute,general,truth,2,6,6,6,6,5,2,2,2,2,2,2,2
