ID,Gender,Economics_exp,Age,Perceived_purpose1,Perceived_purpose2,condition,hypocrisy_1,hypocrisy_2,hypocrisy_3,hypocrisy_4,hypocrisy_5,guilt_1,guilt_2,honest_freq_1,honest_likely_1,honest_extreme_1,committment_honesty_1,moral_1,moral_2,moral_3,moral_standards1,moral_standards2,hypocrisy_1.2,hypocrisy_2.2,hypocrisy_3.2,hypocrisy_4.2,hypocrisy_5.2,guilt_1.2,guilt_2.2,honest_freq_2,honest_likely_2,honest_extreme_2,committment_honesty_2,moral_1.2,moral_2.2,moral_3.2,moral_standards1.2,moral_standards2.2,trustbeh,proclamation,order
1,Male,2,36,I don't know.  something something game theory,I don't know,4,1,1,1,1,1,2,2,5,5,2,2,5,5,5,5,6,1,1,1,1,1,1,1,5,5,3,4,5,5,5,6,6,0,ambiguous,game1
2,Male,1,28,Trust ,Choices and trust,2,7,7,7,7,7,1,1,3,1,7,1,1,1,1,1,5,7,7,7,7,7,1,1,1,1,6,1,2,1,1,1,7,1,absolute,game1
3,Male,1,27,Not sure to be honest,How greedy or giving we are,4,3,3,4,3,4,4,4,5,6,2,4,4,4,3,4,5,3,4,4,3,3,4,4,5,5,3,4,4,3,4,4,5,0,ambiguous,game1
4,Female,2,25,not sure,not sure,4,4,6,4,5,4,2,2,5,5,2,2,2,2,2,4,5,3,3,3,3,3,3,3,5,4,2,3,4,3,2,4,5,1,ambiguous,game1
5,Male,1,39,Not entirely sure.,I really am not sure,1,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,5,0,absolute,survey1
6,Male,0,36,To see how peoples conceits about morality play into a game in which you are forced to lie to achieve the best outcome.,To see how those previous conceits play into a more straightforward game of charitability.,1,3,4,4,3,3,4,4,6,6,6,6,6,6,6,6,5,2,3,5,3,2,4,4,4,4,5,4,6,6,6,6,5,1,absolute,survey1
7,Male,1,31,To determine how people judge others who either lie or tell the truth for their own or another's benefit.,To determine how people make decisions about whether to trust or cooperate with another person.,3,4,5,4,5,4,4,4,4,2,2,2,3,3,3,3,5,2,3,4,3,3,3,3,4,2,2,3,5,5,4,5,5,0,ambiguous,survey1
8,Male,0,31,To see how people make decisions about money,How much we trust other people,1,1,2,1,1,1,6,7,6,6,7,7,6,6,5,7,3,5,6,6,6,6,6,7,6,5,6,5,4,4,4,5,6,0,absolute,survey1
9,Male,0,25,Studying honesty,Studying trust,4,2,2,2,2,2,1,1,6,6,5,5,6,6,5,6,6,3,3,3,3,3,1,1,5,5,4,4,5,5,4,5,5,0,ambiguous,game1
10,Male,3,36,To see if people would lie in order to benefit others.,To determine if one would put trust in others.,1,4,6,3,4,2,7,7,6,6,6,7,7,7,7,6,3,2,3,6,2,2,1,1,5,3,4,4,6,6,5,6,7,1,absolute,survey1
11,Male,2,54,To see how motivated one is to lie.,To see how trusting one is of another.,3,6,6,6,6,6,3,3,3,4,3,2,2,2,2,2,2,6,6,2,6,6,3,3,3,2,3,2,2,2,2,2,3,0,ambiguous,survey1
12,Female,0,29,evaluating honesty,evaluating trust,3,3,2,2,3,3,2,2,5,4,4,3,4,4,4,4,5,3,3,3,3,3,2,2,4,4,3,2,3,3,3,4,5,0,ambiguous,survey1
13,Male,2,25,To see how decisions are affected by prior knowledge and cooperation,To determine decision making in a game setting,1,4,5,4,4,3,4,4,4,4,5,5,4,5,4,5,4,4,4,4,5,3,3,4,4,4,3,4,4,5,4,4,5,1,absolute,survey1
14,Male,5+,48,to see how trustworthy people will be seen in terms of their decision making. ,to see if i would trust the person who made the decisions in the first game,4,2,2,2,2,2,2,2,5,5,4,3,5,5,5,6,6,2,2,2,2,2,2,2,5,4,4,4,5,5,5,6,6,1,ambiguous,game1
