ID,StartDate,EndDate,Gender,Economics_exp,Age,Perceived_purpose1,Perceived_purpose2,condition,proclamation,behavior,Hypocrisy_1,Hypocrisy_2,Hypocrisy_3,Hypocrisy_4,Hypocrisy_5,Honest_frequency,Honest_likely,Honest_extreme,Honest_committment,Moral_1,Moral_2,Moral_3,Social_benefit1,Social_benefit2,pref,rv,sometimes,rarely,never,behavlie
1,3/15/19 12:15,3/15/19 12:22,Female,0,21,To see if someone would be dishonest out of greed.,To see if someone would lie to get more money,3,sometimes,selfish.lie,4,2,2,3,6,5,3,2,1,2,2,2,1,2,4,0,1,0,0,1
2,3/15/19 12:15,3/15/19 12:23,Male,1,38,Whether I could trust someone based on their previous choice,To see if I'd take a gamble or take the for sure $1,2,rarely,selfish.lie,3,4,2,3,3,6,5,3,2,3,4,2,1,2,4,0,0,1,0,1
3,3/15/19 12:18,3/15/19 12:23,Male,3,31,i am not sure!,judging tgrust,2,rarely,selfish.lie,4,4,5,3,3,6,6,3,5,6,6,6,5,6,4,0,0,1,0,1
4,3/15/19 12:15,3/15/19 12:23,Female,1,23,To show if the other participant has been reliable or not in the past. This information is useful to base future decisions off of. ,"This gave you the chance to trust the individual, earning them more money, or to not trust the individual, earning them less money. This made you think about how much you trusted the other person to relay accurate information. ",2,rarely,selfish.lie,2,4,5,2,2,4,3,3,1,3,4,2,4,6,3,0,0,1,0,1
5,3/15/19 12:16,3/15/19 12:24,Male,2,28,To see if I trusted the person giving me the information or not.,To see if I trusted the person giving me the information or not.,5,rarely,prosocial.truth,2,2,2,2,2,6,6,6,6,6,6,6,6,6,3,0,0,1,0,0
6,3/15/19 12:15,3/15/19 12:24,Male,1,23,"not really sure, i guess to see how people would trust other peoples judgements. ","not really sure, because this game is purely luck based. ",6,sometimes,prosocial.truth,4,4,4,5,4,4,4,2,4,4,4,4,4,4,3,1,1,0,0,0
7,3/15/19 12:17,3/15/19 12:24,Male,2,25,Priming me for the rely verify game. ,Test my rational vs. trusting behavior. ,4,never,prosocial.truth,2,4,2,2,2,6,4,3,5,5,5,5,2,2,3,0,0,0,1,0
8,3/15/19 12:15,3/15/19 12:24,Male,1,26,See how much you can trust your partner,See how much you actually trust your partner,5,rarely,prosocial.truth,2,2,2,2,2,6,6,5,6,6,6,6,6,6,4,0,0,1,0,0
9,3/15/19 12:16,3/15/19 12:24,Male,0,22,To quantify trust in strangers,To quantify trust in strangers after being given information about them,3,sometimes,selfish.lie,2,2,2,3,2,5,3,2,2,2,2,2,2,2,3,0,1,0,0,1
10,3/15/19 12:16,3/15/19 12:25,Male,2,28,Figuring out trust in a game of chance.,Figuring out trust when money is on the line!,5,rarely,prosocial.truth,1,1,1,1,1,6,6,6,6,6,6,6,6,6,4,1,0,1,0,0
11,3/15/19 12:15,3/15/19 12:25,Male,2,22,To see if you can trust others,How trusting are people,3,sometimes,selfish.lie,6,6,6,6,6,3,2,1,2,2,2,2,2,3,3,0,1,0,0,1
12,3/15/19 12:20,3/15/19 12:25,Male,5+,27,No idea,No idea,6,sometimes,prosocial.truth,3,2,3,4,3,5,3,4,3,4,5,2,4,5,3,0,1,0,0,0
13,3/15/19 12:15,3/15/19 12:25,Male,1,40,dont know,dont know,3,sometimes,selfish.lie,5,3,3,5,3,2,1,5,1,2,2,2,4,4,4,1,1,0,0,1
