ID,StartDate,EndDate,Gender,Economics_exp,Age,Perceived_purpose,condition,hypocrisy_1,hypocrisy_2,hypocrisy_3,discomfort_1,benevolence_1,benevolence_2,benevolence_3,honest,moral_1,moral_2,trust,proclamation,lie.motives
1,9/5/18 14:26,9/5/18 14:33,Female,1,23,To see if people favor a selfish truth or a kind lie,4,2,2,2,2,6,6,6,5,6,7,5,ambiguous,prosocial
2,9/5/18 14:32,9/5/18 14:40,Male,0,21,To learn about people behaviours when it comes to being dishonest especially when winning money is involved.,2,4,4,4,6,3,3,5,3,3,3,6,absolute,prosocial
3,9/5/18 14:38,9/5/18 14:43,Male,0,30,The purpose was to rate the trustworthiness of a participant who stands to profit slightly off of being dishonest and depriving another player of profit.,3,4,3,2,2,2,2,2,1,2,2,1,ambiguous,selfish
4,9/5/18 14:37,9/5/18 14:45,Male,0,21,I think the purpose of the Coin Flip Game was to see if people who feel that lying is completely unacceptable are willing to lie if it benefits the person who is being lied to.,2,5,4,5,4,5,5,6,4,5,5,5,absolute,prosocial
5,9/5/18 14:45,9/5/18 14:48,Female,1,34,see if people lie,3,4,2,2,2,2,2,4,2,2,2,2,ambiguous,selfish
6,9/5/18 14:37,9/5/18 14:49,Female,2,21,The purpose was to study how participant will react in real situation after answering just answering questions about his morals and thoughts of ethics,1,4,2,1,5,1,1,2,1,1,1,1,absolute,selfish
7,9/5/18 14:37,9/5/18 14:49,Female,2,28,"To see if the person who says lying is a bad thing, will support this idea even when playing games.",2,2,4,5,4,3,2,6,2,4,3,2,absolute,prosocial
8,9/5/18 14:40,9/5/18 14:52,Female,1,27,To show how selfish/honest/trustworthy a person behaves ,1,6,6,7,2,5,5,2,4,3,4,4,absolute,selfish
9,9/5/18 14:48,9/5/18 14:53,Female,0,21,To see if people really adhere to their values when there's a reward if they choose to be unethical,1,6,7,7,2,1,2,2,1,2,2,1,absolute,selfish
10,9/5/18 14:38,9/5/18 14:53,Male,0,21,"To see if someone would lie so that there is a high chance that both participants get money, even if the sender gets a little bit less than when he/she says the truth.",4,2,2,2,2,6,6,7,4,6,6,6,ambiguous,prosocial
11,9/5/18 14:51,9/5/18 15:00,Female,0,39,not sure really...,3,2,4,4,2,2,2,5,1,1,1,4,ambiguous,selfish
12,9/5/18 14:52,9/5/18 15:01,Male,1,36,To determine people's willingness to give up some of their profit for cooperation.,3,5,2,4,2,1,2,2,2,2,2,2,ambiguous,selfish
13,9/5/18 14:48,9/5/18 15:02,Female,1,24,get insight to how people trust,1,2,5,5,5,5,5,6,6,3,3,3,absolute,selfish
14,9/5/18 14:54,9/5/18 15:04,Male,0,26,To determine if people will Lie for a bigger prize outcome and whether or not people will trust others.,4,2,3,2,2,5,4,6,4,4,4,2,ambiguous,prosocial
15,9/5/18 14:52,9/5/18 15:05,Female,0,23,Trusting the Word le others in decisión making,4,3,4,4,3,5,5,3,3,3,4,3,ambiguous,prosocial
16,9/5/18 15:01,9/5/18 15:07,Male,1,29,To find out a  persons morality.,3,1,1,2,1,2,6,1,2,2,2,2,ambiguous,selfish
17,9/5/18 15:02,9/5/18 15:09,Female,2,24,Win money by cheating,1,6,6,6,5,2,4,3,2,6,6,4,absolute,selfish
18,9/5/18 15:00,9/5/18 15:09,Male,2,23,To see how greedy and selfish people can be when presented with an opportunity to make some extra money.,1,6,7,7,3,2,2,1,1,1,1,1,absolute,selfish
19,9/5/18 14:57,9/5/18 15:11,Female,0,23,Do we really trust people by what they are saying? Or are we still making our own choices reagardless the information/tips we are given? How honest are people actually when there is money involved?,2,4,5,5,4,4,5,5,2,3,2,2,absolute,prosocial
20,9/5/18 15:09,9/5/18 15:13,Female,0,26,The purpose was to test the moral values of the participant,1,6,7,7,4,2,1,2,1,2,2,2,absolute,selfish
21,9/5/18 15:02,9/5/18 15:14,Male,0,24,To create a scenario in which someone would have to lie in order to achieve a gain for both participants.,4,1,1,1,2,6,6,7,6,6,5,6,ambiguous,prosocial
22,9/5/18 15:03,9/5/18 15:16,Female,0,30,"I think it's a game of chance where you need to deceive the other to earn more, I do not think this makes you a hypocrite, it's about being cunning",3,3,4,2,2,5,2,2,2,2,2,1,ambiguous,selfish
