ID,Gender,Economics_exp,Age,condition,proclamation,lie,discounting_1,goal_1,discounting_2,goal_2,hypocrisy_1,hypocrisy_2,hypocrisy_3,hypocrisy_4,moral_1,moral_2,moral_3,counts
1,Male,2,33,2,absolute,one,3,2,4,4,7,1,5,5,3,3,3,7
2,Male,1,20,2,absolute,one,3,1,4,4,6,5,5,6,2,2,2,3
3,Female,0,29,1,absolute,repeat,2,2,4,4,7,7,7,6,2,2,2,4
4,Male,2,29,4,flexible,one,4,3,4,4,2,1,4,3,3,2,2,6
5,Male,2,33,3,flexible,repeat,3,3,3,3,3,4,4,4,3,3,4,4
6,Female,1,24,4,flexible,one,2,3,4,4,4,5,4,4,2,2,2,2
7,Male,1,24,2,absolute,one,3,1,4,1,6,6,5,5,2,2,2,3
8,Female,1,18,1,absolute,repeat,3,2,4,3,4,5,4,4,5,5,4,4
9,Female,1,26,4,flexible,one,4,4,4,4,2,1,6,6,2,2,1,2
10,Female,2,41,3,flexible,repeat,3,3,4,4,4,7,6,7,1,1,1,2
11,Male,3,30,4,flexible,one,2,2,2,2,1,2,2,2,7,7,6,3
12,Female,0,24,3,flexible,repeat,3,3,4,4,3,5,5,6,2,2,1,6
13,Female,0,30,1,absolute,repeat,1,1,3,2,5,7,5,4,3,4,3,2
14,Female,0,21,1,absolute,repeat,3,2,3,3,5,6,4,6,2,2,3,5
15,Male,1,27,3,flexible,repeat,4,2,5,5,6,6,4,3,1,2,1,1
16,Female,0,32,2,absolute,one,3,2,3,3,3,3,3,3,3,4,4,3
17,Male,2,27,2,absolute,one,5,1,5,5,7,7,7,7,1,1,1,1
18,Female,0,29,1,absolute,repeat,2,1,4,4,7,7,7,7,2,2,1,6
19,Female,1,21,1,absolute,repeat,2,1,3,3,7,7,5,5,5,2,4,6
20,Male,0,28,4,flexible,one,2,3,3,4,3,3,6,3,2,3,5,6
21,Female,1,26,1,absolute,repeat,2,3,3,3,5,6,4,5,3,3,2,3
22,Female,0,21,4,flexible,one,4,3,4,3,5,3,4,3,4,5,5,6
23,Male,2,34,3,flexible,repeat,2,3,4,4,2,2,5,5,1,1,1,6
24,Male,0,45,1,absolute,repeat,1,1,3,3,5,5,5,5,2,2,2,2
25,Male,1,19,4,flexible,one,3,3,4,4,3,2,4,4,2,2,2,6
26,Female,2,25,1,absolute,repeat,1,1,1,1,6,6,5,5,6,5,6,2
27,Male,1,27,4,flexible,one,2,2,2,2,1,7,2,2,5,5,5,7
28,Female,1,25,2,absolute,one,3,2,4,3,6,6,4,4,3,3,2,6
29,Male,0,20,1,absolute,repeat,1,1,1,1,5,4,3,4,7,3,3,6
30,Male,2,35,3,flexible,repeat,3,2,4,4,4,4,5,5,2,2,2,1
31,Female,1,43,1,absolute,repeat,2,1,2,1,3,3,3,3,3,3,3,4
32,Female,0,37,3,flexible,repeat,3,3,5,5,4,4,4,4,1,1,1,1
33,Female,0,37,3,flexible,repeat,3,3,5,4,1,1,7,7,1,1,1,7
34,Female,0,52,4,flexible,one,3,3,3,3,3,5,4,4,4,4,3,3
35,Female,1,41,1,absolute,repeat,2,1,4,4,7,6,6,7,4,5,4,2
36,Male,1,30,1,absolute,repeat,3,3,3,3,5,6,5,5,4,4,4,4
37,Male,0,29,3,flexible,repeat,3,3,3,3,3,3,6,6,2,4,1,6
38,Female,2,31,3,flexible,repeat,2,3,2,3,3,3,3,3,5,5,4,6
39,Female,1,45,4,flexible,one,2,3,3,3,3,4,4,3,5,5,4,3
40,Male,1,22,1,absolute,repeat,3,1,4,4,7,7,7,7,2,2,1,7
41,Male,0,23,1,absolute,repeat,2,2,3,2,6,6,4,4,4,4,3,6
42,Female,1,25,2,absolute,one,2,1,3,2,7,6,7,6,2,2,2,5
43,Male,1,23,2,absolute,one,2,2,3,4,6,1,6,5,3,2,2,6
44,Male,5+,34,1,absolute,repeat,3,2,4,5,7,7,6,6,1,1,1,2
45,Female,2,34,3,flexible,repeat,2,2,3,3,5,5,4,5,2,4,2,3
46,Female,0,21,3,flexible,repeat,3,3,3,3,3,3,3,3,5,5,5,4
47,Female,1,55,2,absolute,one,2,2,3,3,6,5,5,5,2,3,2,5
48,Female,2,25,1,absolute,repeat,3,2,3,3,6,7,6,6,2,3,1,5
49,Female,0,37,4,flexible,one,4,4,4,4,6,6,6,6,1,1,2,3
50,Female,0,50,3,flexible,repeat,3,3,4,4,3,6,5,5,2,2,1,6
51,Male,3,44,4,flexible,one,4,4,4,4,4,5,4,3,3,3,3,6
52,Female,0,37,4,flexible,one,3,4,3,3,4,5,5,5,4,4,2,6
53,Male,2,41,4,flexible,one,3,2,3,2,6,6,6,6,2,2,2,7
54,Female,2,21,3,flexible,repeat,3,3,4,4,6,3,7,6,3,3,1,6
55,Male,1,23,3,flexible,repeat,3,3,5,4,3,3,6,6,2,2,2,7
56,Male,0,28,1,absolute,repeat,3,1,3,2,5,5,5,4,2,2,3,3
57,Male,0,32,4,flexible,one,3,2,3,3,4,5,4,4,4,4,3,3
58,Female,2,40,4,flexible,one,3,3,4,4,2,2,6,3,3,3,2,5
59,Male,0,34,3,flexible,repeat,3,4,4,4,5,1,5,5,2,2,1,4
60,Male,3,41,2,absolute,one,2,1,3,3,6,6,5,5,1,2,2,6
61,Female,0,21,4,flexible,one,3,3,3,3,3,3,5,4,3,4,3,5
62,Female,2,36,1,absolute,repeat,2,1,3,3,6,6,6,5,4,4,3,5
63,Male,0,22,2,absolute,one,2,1,2,2,3,2,3,3,6,7,6,3
64,Male,1,19,2,absolute,one,2,2,3,3,6,6,5,5,2,2,2,3
65,Male,0,33,1,absolute,repeat,3,2,3,3,6,6,6,6,2,2,2,3
66,Male,1,29,2,absolute,one,2,1,3,3,7,5,6,5,2,2,3,5
67,Female,0,49,4,flexible,one,3,3,3,3,3,3,4,4,4,4,4,5
68,Female,1,21,3,flexible,repeat,3,3,4,4,5,6,5,5,2,2,2,6
69,Male,0,31,2,absolute,one,3,3,4,4,4,5,4,5,3,2,2,6
70,Male,1,27,2,absolute,one,2,2,4,3,6,7,6,7,2,1,1,2
71,Male,2,33,3,flexible,repeat,4,3,4,3,2,6,5,5,2,2,2,3
72,Male,2,45,2,absolute,one,2,1,3,3,6,7,5,5,4,5,4,7
73,Male,2,20,4,flexible,one,3,3,4,4,2,2,5,5,3,2,2,6
74,Female,0,43,2,absolute,one,2,2,4,4,6,6,6,6,2,2,2,2
75,Male,1,30,1,absolute,repeat,1,1,3,3,6,6,4,6,2,2,2,6
76,Female,2,28,2,absolute,one,3,2,3,2,7,7,5,7,2,2,2,2
77,Female,2,24,3,flexible,repeat,3,3,4,3,2,2,4,4,3,3,3,5
78,Female,2,33,3,flexible,repeat,3,3,5,5,7,7,7,6,1,1,1,6
79,Female,5+,24,2,absolute,one,3,1,3,2,5,6,4,4,4,4,4,5
80,Male,2,45,3,flexible,repeat,4,4,4,4,2,2,2,2,4,4,3,5
81,Female,0,37,2,absolute,one,3,1,4,4,7,5,7,7,2,2,2,4
82,Female,0,24,4,flexible,one,2,3,3,3,2,2,3,3,5,5,4,3
83,Female,1,28,1,absolute,repeat,2,1,3,3,6,7,6,4,3,4,2,6
84,Female,1,48,2,absolute,one,1,1,3,3,5,5,5,5,2,2,1,2
85,Female,2,24,4,flexible,one,3,3,4,3,3,4,3,3,5,4,4,6
86,Male,2,22,4,flexible,one,3,4,4,4,2,3,5,3,4,4,4,6
87,Female,1,21,2,absolute,one,1,1,4,4,6,6,6,6,2,2,2,2
88,Male,2,22,4,flexible,one,3,4,4,4,5,3,5,6,3,3,2,5
89,Female,0,36,2,absolute,one,2,1,3,3,6,7,4,6,4,4,4,5
90,Male,3,32,2,absolute,one,4,3,4,5,7,7,7,7,4,4,4,5
91,Male,3,30,4,flexible,one,3,3,4,3,4,3,5,4,4,5,5,5
92,Female,1,33,2,absolute,one,2,1,3,3,6,7,6,6,3,3,2,6
93,Male,5+,24,1,absolute,repeat,2,1,3,2,5,6,4,5,3,3,3,2
94,Female,1,30,4,flexible,one,3,2,3,2,4,5,5,5,4,4,3,3
95,Female,1,26,2,absolute,one,2,1,2,3,5,6,3,3,4,4,4,5
96,Female,2,26,3,flexible,repeat,3,3,4,4,2,2,6,6,2,2,2,3
97,Female,1,52,4,flexible,one,3,3,4,4,2,6,5,4,5,3,2,6
98,Female,2,33,1,absolute,repeat,2,1,2,3,6,7,6,6,2,2,2,6
99,Male,0,31,1,absolute,repeat,3,2,4,3,7,7,6,7,2,2,2,3
100,Male,1,42,2,absolute,one,2,2,3,4,6,6,6,6,2,2,2,6
101,Male,0,47,3,flexible,repeat,3,3,4,4,3,3,6,6,2,2,2,2
102,Female,1,29,1,absolute,repeat,2,1,3,3,7,7,3,6,1,1,2,5
103,Female,1,26,4,flexible,one,4,3,4,3,4,5,6,4,3,3,3,6
104,Female,2,29,4,flexible,one,4,3,4,4,4,4,3,3,4,3,3,6
105,Female,0,37,4,flexible,one,3,3,3,3,4,2,5,2,5,5,3,3
106,Male,0,30,2,absolute,one,2,1,3,4,7,6,6,6,3,2,2,4
107,Female,0,28,3,flexible,repeat,3,3,4,4,5,5,6,6,2,3,2,3
108,Male,1,35,3,flexible,repeat,3,3,4,4,5,3,5,5,2,2,2,5
109,Female,1,23,3,flexible,repeat,3,3,3,3,1,1,3,3,4,4,4,6
110,Female,0,25,2,absolute,one,3,1,3,3,6,6,5,5,4,5,3,4
111,Male,1,26,1,absolute,repeat,2,1,4,3,7,7,6,6,2,3,2,3
112,Female,1,44,4,flexible,one,3,3,3,4,4,5,5,4,4,4,2,6
113,Female,1,27,4,flexible,one,3,3,3,3,2,3,5,5,2,2,2,6
114,Male,2,26,2,absolute,one,2,1,3,3,5,5,4,4,3,3,3,3
115,Male,5+,32,3,flexible,repeat,3,3,4,4,4,2,6,6,1,1,1,7
116,Male,1,56,1,absolute,repeat,1,1,4,3,6,6,4,5,2,3,2,6
117,Female,0,34,1,absolute,repeat,3,1,3,3,6,6,6,5,2,2,1,5
118,Female,1,31,3,flexible,repeat,3,3,4,3,5,5,6,6,2,2,2,7
119,Female,0,39,3,flexible,repeat,3,3,3,3,2,2,2,2,3,4,2,2
120,Female,1,28,4,flexible,one,4,3,4,4,4,3,5,5,2,2,2,3
121,Male,0,55,1,absolute,repeat,2,1,3,3,6,6,6,7,2,2,1,6
122,Male,2,23,3,flexible,repeat,4,3,4,3,7,6,6,6,2,1,1,4
123,Female,1,37,2,absolute,one,1,1,3,1,5,6,4,4,3,3,3,5
124,Female,2,22,1,absolute,repeat,3,3,4,4,7,4,4,6,2,2,1,7
125,Female,4,26,1,absolute,repeat,3,1,3,4,5,7,6,5,3,3,3,1
126,Male,0,57,3,flexible,repeat,3,3,3,3,2,2,2,2,5,5,5,6
127,Male,0,28,1,absolute,repeat,2,2,2,2,1,1,1,1,6,6,6,1
128,Female,3,39,2,absolute,one,2,2,3,3,7,7,6,7,1,2,1,7
129,Male,2,64,4,flexible,one,3,3,3,3,3,3,2,2,5,5,5,6
130,Female,0,48,4,flexible,one,4,3,4,4,2,2,2,2,3,3,2,6
131,Female,1,54,4,flexible,one,3,3,4,4,4,5,5,4,2,3,2,6
132,Female,1,25,3,flexible,repeat,4,4,4,4,5,5,6,6,2,2,2,6
133,Male,3,33,3,flexible,repeat,3,3,3,3,4,4,4,4,4,4,4,4
134,Female,0,53,3,flexible,repeat,3,3,3,3,5,6,6,5,2,2,2,6
135,Male,1,42,4,flexible,one,3,3,3,3,4,4,5,4,2,2,2,4
136,Female,0,28,1,absolute,repeat,2,1,3,3,5,6,5,5,4,4,3,3
137,Female,0,56,1,absolute,repeat,1,1,3,3,7,7,7,7,1,1,1,6
138,Female,1,19,3,flexible,repeat,2,2,4,4,2,2,7,4,2,2,1,6
139,Male,3,36,3,flexible,repeat,3,3,3,3,2,2,3,3,4,4,4,6
140,Male,0,49,1,absolute,repeat,3,3,4,4,6,7,6,6,2,2,2,4
141,Female,1,32,1,absolute,repeat,3,3,5,5,7,7,7,7,1,1,1,3
142,Male,1,38,3,flexible,repeat,4,4,4,4,5,3,5,5,2,2,2,3
143,Female,1,18,2,absolute,one,2,1,2,1,1,1,2,1,6,6,7,3
144,Female,0,29,4,flexible,one,3,3,3,3,4,5,5,4,4,4,4,6
145,Male,1,41,2,absolute,one,1,2,4,4,6,7,6,6,2,2,1,6
146,Female,1,42,2,absolute,one,2,1,3,3,6,7,6,6,2,3,2,5
147,Male,3,67,1,absolute,repeat,3,1,4,3,6,3,4,6,2,3,2,2
148,Female,1,28,2,absolute,one,2,1,3,3,5,6,5,5,3,3,2,6
149,Female,2,35,3,flexible,repeat,4,3,4,4,5,2,2,4,4,4,4,1
150,Male,0,32,3,flexible,repeat,2,2,3,4,4,5,4,5,3,3,2,5
151,Male,1,27,1,absolute,repeat,2,1,3,3,5,6,5,4,3,4,3,5
152,Male,2,47,4,flexible,one,3,3,3,3,3,3,5,5,3,3,3,6
153,Female,1,22,3,flexible,repeat,2,2,3,4,5,6,4,4,4,4,4,3
154,Male,0,29,2,absolute,one,3,3,4,4,7,7,4,7,1,1,1,7
155,Female,1,27,2,absolute,one,2,2,3,3,5,5,5,5,2,2,2,3
156,Male,1,22,4,flexible,one,3,3,3,3,3,2,4,4,3,3,3,6
157,Male,0,19,1,absolute,repeat,4,3,4,4,6,6,2,2,3,5,2,2
158,Female,1,23,2,absolute,one,3,3,4,4,6,7,5,5,2,1,2,1
159,Female,0,26,1,absolute,repeat,3,1,4,4,7,7,6,6,3,3,2,7
160,Female,2,27,2,absolute,one,3,2,3,3,6,6,5,5,2,2,2,6
161,Male,0,33,2,absolute,one,3,2,3,3,5,5,5,5,3,3,3,6
162,Male,1,37,3,flexible,repeat,2,3,3,3,4,5,5,5,3,4,2,5
163,Male,2,30,4,flexible,one,4,3,4,3,3,3,6,6,2,3,2,6
164,Male,0,27,1,absolute,repeat,2,1,4,4,6,4,6,7,2,2,2,7
165,Male,1,27,1,absolute,repeat,3,3,4,4,6,3,7,6,2,2,2,5
166,Female,1,23,4,flexible,one,2,3,4,4,3,5,3,4,3,3,2,5
167,Female,2,22,1,absolute,repeat,1,2,3,3,7,7,7,7,4,4,2,6
168,Female,0,53,4,flexible,one,3,3,3,4,6,4,6,6,1,1,1,7
169,Female,1,36,2,absolute,one,2,1,3,3,7,7,6,6,3,3,2,6
170,Male,0,29,4,flexible,one,3,3,3,3,4,4,4,6,2,1,1,6
171,Female,0,31,1,absolute,repeat,1,1,2,1,2,2,2,2,5,5,4,2
172,Female,2,30,2,absolute,one,3,3,3,5,7,7,7,7,2,1,1,6
173,Female,2,56,2,absolute,one,1,1,3,3,5,6,3,3,5,4,4,6
174,Female,1,36,1,absolute,repeat,2,2,4,4,7,7,6,7,2,2,2,3
175,Male,1,22,3,flexible,repeat,3,3,5,4,7,6,4,6,1,4,1,1
176,Female,2,67,4,flexible,one,3,3,3,3,3,3,3,3,4,4,4,3
177,Male,2,28,2,absolute,one,3,3,3,3,1,1,1,1,6,6,6,5
178,Female,0,30,1,absolute,repeat,2,1,4,4,6,7,6,6,1,2,2,6
179,Male,1,70,2,absolute,one,3,4,3,3,5,6,6,6,5,5,4,3
180,Female,1,28,2,absolute,one,2,2,2,2,2,6,2,2,6,6,5,5
181,Female,1,34,2,absolute,one,2,1,3,3,7,7,5,5,4,4,2,2
182,Female,2,18,3,flexible,repeat,3,3,4,5,7,7,7,7,1,1,1,5
183,Male,2,28,4,flexible,one,2,2,3,2,4,6,4,4,4,4,4,5
184,Female,5+,32,2,absolute,one,2,1,3,3,6,6,5,5,3,3,3,5
185,Female,2,25,1,absolute,repeat,2,2,3,4,5,7,5,4,4,5,3,3
186,Male,2,31,1,absolute,repeat,2,1,2,1,2,6,2,2,6,5,5,2
187,Female,0,29,3,flexible,repeat,3,3,4,2,4,5,6,7,2,2,2,6
188,Male,3,29,2,absolute,one,3,1,4,1,5,3,4,4,3,3,2,7
189,Female,0,30,4,flexible,one,3,3,3,3,4,2,4,5,2,2,2,2
190,Male,0,56,3,flexible,repeat,2,3,3,3,5,6,4,5,2,4,4,2
191,Female,0,30,2,absolute,one,2,2,3,3,6,7,6,6,2,2,3,6
192,Female,0,31,3,flexible,repeat,3,4,4,4,5,3,5,5,1,1,2,6
193,Male,0,52,1,absolute,repeat,3,3,4,4,6,6,6,6,2,3,1,4
194,Female,1,61,4,flexible,one,2,2,3,3,3,3,5,3,2,2,2,5
195,Male,0,38,4,flexible,one,3,3,3,3,4,2,4,6,2,2,4,3
196,Male,2,21,3,flexible,repeat,3,2,3,3,4,5,4,3,4,5,4,6
197,Female,0,63,1,absolute,repeat,2,2,4,4,7,5,4,6,2,2,2,5
198,Female,1,29,3,flexible,repeat,3,3,3,3,3,5,2,2,4,5,4,5
199,Female,1,41,1,absolute,repeat,2,1,4,3,7,7,5,5,2,2,2,5
200,Prefer not to answer,0,26,2,absolute,one,3,1,3,3,5,5,5,5,2,2,2,2
201,Male,0,54,1,absolute,repeat,1,1,4,4,7,7,7,7,1,1,1,2
202,Male,1,41,3,flexible,repeat,3,3,3,3,4,3,3,5,2,2,3,5
203,Female,1,62,4,flexible,one,3,3,3,3,3,3,4,4,2,2,2,6
204,Female,2,22,1,absolute,repeat,3,1,4,3,7,7,6,6,4,2,3,3
205,Male,2,27,1,absolute,repeat,3,2,4,3,7,7,7,7,2,2,1,4
206,Male,5+,27,3,flexible,repeat,3,3,4,3,2,2,1,3,3,5,2,5
207,Male,0,24,3,flexible,repeat,3,3,4,3,5,5,4,6,1,2,1,3
208,Male,0,33,3,flexible,repeat,3,3,3,3,5,5,5,5,3,3,2,7
209,Female,2,22,3,flexible,repeat,3,3,4,4,4,5,5,5,2,2,2,5
210,Male,0,29,4,flexible,one,4,4,4,5,5,3,5,6,2,3,2,5
211,Female,1,57,3,flexible,repeat,4,3,4,4,6,6,6,6,2,2,2,2
212,Female,2,26,3,flexible,repeat,3,3,3,3,5,4,3,3,4,4,4,1
213,Female,0,54,4,flexible,one,3,3,3,3,2,3,5,5,2,2,2,6
214,Male,2,39,2,absolute,one,3,2,3,3,5,5,5,5,5,5,5,3
215,Female,1,25,1,absolute,repeat,4,2,4,4,7,7,7,7,1,1,1,6
216,Female,0,57,3,flexible,repeat,4,1,4,4,4,7,6,7,1,1,1,4
217,Female,0,25,1,absolute,repeat,3,2,4,3,6,6,6,6,3,4,3,3
218,Male,0,20,2,absolute,one,3,2,3,3,6,6,5,5,4,4,2,6
219,Male,1,28,1,absolute,repeat,1,2,4,4,7,7,7,7,1,1,2,4
220,Male,1,20,4,flexible,one,3,3,4,4,5,3,5,4,3,2,2,4
221,Male,1,49,1,absolute,repeat,2,4,4,4,7,5,6,6,2,2,2,6
222,Female,0,26,1,absolute,repeat,2,1,4,2,7,6,7,6,2,2,2,5
223,Male,2,40,4,flexible,one,4,3,4,4,2,2,5,5,3,3,2,6
224,Male,2,23,3,flexible,repeat,2,3,3,3,2,2,2,3,4,4,5,3
225,Female,0,27,4,flexible,one,3,3,3,3,2,3,4,4,4,3,3,4
226,Male,1,28,3,flexible,repeat,2,2,3,3,5,6,4,4,3,4,4,6
227,Female,0,26,4,flexible,one,3,3,3,3,4,2,4,4,2,3,2,4
228,Female,1,21,2,absolute,one,2,1,2,2,5,7,5,5,2,2,2,5
229,Male,2,48,1,absolute,repeat,2,2,4,4,6,6,6,6,1,2,1,4
230,Female,5+,38,3,flexible,repeat,3,3,4,4,2,2,6,5,2,2,2,2
231,Female,0,30,3,flexible,repeat,3,3,4,4,6,3,5,6,1,2,1,5
232,Female,0,45,1,absolute,repeat,2,2,4,4,6,5,6,5,3,3,2,3
