id,Guess_1,hypocrite,inauthentic,disingenuous,moral,ethical,trust,comm_h,lie_freq,future_lie,extreme_lie,Q602,Q603,Q600,Q489,Q490,Q615,hypo_2,inauth_2,disingen_2,moral_2,ethical_2,trust_2,comm_h2,lie_freq2,future_lie2,extreme_lie2,Q811,final_guess,gender,econ,age,purpose,condition,Country,Advice_num,Advice_denom,advice
1,3.5,Agree,Somewhat agree,Somewhat agree,Not very,Slightly,Not very,Not very,Somewhat often,Extremely likely,Slightly extreme,SENDER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Extremely often,Extremely likely,Not at all extreme,I am ready to continue.,8.5,Female,1,36,Whether or not to trust the other person,2,2,5,5.74,0.871080139
2,20,Disagree,Disagree,Disagree,Moderately,Moderately,Moderately,Moderately,Not very often,Not very likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Agree,Agree,Not very,Not very,Not very,Not very,Very often,Very likely,Not very extreme,I am ready to continue.,20,Female,0,38,To see if people believe other people.,1,2,0,10.76,0
3,1,Strongly disagree,Strongly disagree,Strongly disagree,Moderately,Moderately,Moderately,Moderately,Slightly often,Slightly likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Disagree,Disagree,Disagree,Moderately,Moderately,Moderately,Moderately,Slightly often,Slightly likely,Moderately extreme,I am ready to continue.,1,Male,5+,46,Whether I trusted #186.,2,2,0,8.24,0
4,4.5,Disagree,Disagree,Disagree,Very,Moderately,Very,Very,Not very often,Slightly likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Somewhat agree,Agree,Somewhat,Slightly,Not very,Not very,Somewhat often,Moderately likely,Not very extreme,I am ready to continue.,6,Female,1,32,To determine how much I'd trust my partner after seeing a previous scenario which shows whether they lied / told the truth.,1,2,1.5,4.74,0.316455696
5,1.86,Disagree,Disagree,Disagree,Somewhat,Somewhat,Somewhat,Slightly,Slightly often,Slightly likely,Slightly extreme,Neither SENDER nor RECEIVER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat agree,Somewhat agree,Somewhat agree,Slightly,Slightly,Slightly,Not very,Somewhat often,Somewhat likely,Not very extreme,I am ready to continue.,2.86,Male,1,30,to see how trustworthy the person is ,2,2,1,7.38,0.135501355
6,7,Strongly disagree,Strongly disagree,Strongly disagree,Extremely,Extremely,Extremely,Extremely,Not often at all,Not at all likely,The most extreme,Both SENDER and RECEIVER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Extremely often,Extremely likely,Not at all extreme,I am ready to continue.,7,Female,0,27,To see whether you believe another player once you have seen they were lying previously.,1,2,0,2.24,0
7,4,Strongly disagree,Strongly disagree,Strongly disagree,Extremely,Extremely,Very,Very,Not often at all,Not very likely,The most extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Not very,Not very,Not very,Not very,Slightly often,Moderately likely,Somewhat extreme,I am ready to continue.,6,Female,1,54,To try to correctly guess the value of the coins in the jar. And to see how much I trust the advice of the other participant.,1,2,2,5.24,0.381679389
8,3,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Moderately,Somewhat,Somewhat,Somewhat,Not very often,Slightly likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Agree,Agree,Not very,Not very,Not very,Not very,Somewhat often,Somewhat likely,Not very extreme,I am ready to continue.,4,Female,0,34,To see if we would trust an advisor who has been known to lie in the past,2,2,1,6.24,0.16025641
9,5,Disagree,Disagree,Disagree,Moderately,Moderately,Somewhat,Slightly,Somewhat often,Very likely,Somewhat extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Disagree,Disagree,Disagree,Somewhat,Somewhat,Slightly,Not very,Very often,Extremely likely,Slightly extreme,I am ready to continue.,9.24,Male,0,49,I don't know,2,2,4.24,4.24,1
10,7.51,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly,Slightly,Slightly,Slightly,Slightly often,Slightly likely,Slightly extreme,Both SENDER and RECEIVER,SENDER,The coin landed on TAILS.,SENDER,SENDER,The coin landed on TAILS.,Neither agree nor disagree,Agree,Somewhat agree,Not very,Not very,Not very,Not very,Somewhat often,Moderately likely,Not very extreme,I am ready to continue.,9.24,Male,2,40,To determine how much you trusted your partner. ,2,2,1.73,1.73,1
11,15,Disagree,Disagree,Disagree,Moderately,Moderately,Moderately,Moderately,Somewhat often,Moderately likely,Slightly extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Moderately,Moderately,Moderately,Slightly,Moderately often,Moderately likely,Moderately extreme,I am ready to continue.,15,Female,1,26,"if we see previous choices of another person how this effects our trust in them
",2,2,0,5.76,0
12,3,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Moderately,Moderately,Not at all,Very,Somewhat often,Extremely likely,Slightly extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Moderately often,Extremely likely,Not at all extreme,I am ready to continue.,3,Male,0,30,To study changes in choices depending on information given about a third party that gives advice.,1,2,0,6.24,0
13,2,Strongly disagree,Strongly disagree,Strongly disagree,Very,Very,Very,Very,Not very often,Moderately likely,Not very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Somewhat agree,Somewhat agree,Slightly,Slightly,Not very,Not very,Moderately often,Extremely likely,Not at all extreme,I am ready to continue.,9.24,Male,0,38,To guess the amount of money in a jar of pennies. I received advise from a partner about how much was in the jar. I also was told the partner's decision of whether to lie or not from a previous game. I then was told advise from the partner and I was asked to resubmit an answer for how much money I thought was in the jar.,1,2,7.24,7.24,1
14,5,Strongly disagree,Strongly disagree,Strongly disagree,Very,Very,Very,Very,Not often at all,Not very likely,Very extreme,Both SENDER and RECEIVER,Both SENDER and RECEIVER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat,Slightly,Slightly,Somewhat,Slightly often,Slightly likely,Not very extreme,I am ready to continue.,9.24,Male,0,38,The advice game was about establishing and studying trust in a partner who is providing advice.,1,2,4.24,4.24,1
15,5.5,Strongly disagree,Strongly disagree,Strongly disagree,Moderately,Moderately,Extremely,Extremely,Not often at all,Not at all likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Extremely often,Extremely likely,Not at all extreme,I am ready to continue.,6.67,Male,2,31,To see how knowing someone lies over a quarter influenced your perspective of them.,1,2,1.17,3.74,0.312834225
