PID,condition,vote_likely,hypocrisy_1,hypocrisy_2,hypocrisy_3,hypocrisy_4,hypocrisy_5,moral_1,moral_2,moral_3,att_chck1,att_chck2,similar_politician,sex,age,political_affil,purpose
1,1,1,7,7,7,7,7,1,1,1,1,1,No.,1,31,3,I think this study was trying to find how people felt about politicians who are constantly found lying blatantly or through omission.
2,2,1,7,7,7,7,7,1,1,1,2,1,"Every member of the Republican Party, local and national.",1,70,2,attitudes toward liars
3,1,4,6,6,6,6,6,3,3,3,1,1,Not specifically.,1,41,2,Unsure
4,1,5,5,4,4,4,5,1,1,1,1,1,"no, who cares they are all narcists liars, doesn't matter the party.",2,29,3,to see how we would be ok with hypocrites. 
5,2,6,5,5,4,3,7,5,5,4,2,1,not specifically.,1,33,1,influence of party affiliation?
6,2,2,5,5,5,5,5,2,2,2,2,1,Theresa Greenfield,1,26,2,I think you wanted to see what it would take for someone to turn against a politician with their beliefs.
7,2,2,6,6,6,6,6,2,2,2,2,1,yes,1,45,2,Political Candidate morality
8,1,5,4,5,4,4,5,5,5,5,1,1,No.,1,35,1,Understanding how people can perceive a political candidate based on certain context.
9,1,2,7,6,7,7,6,1,1,1,1,1,No politicians came to mind when I was reading about Matthew Johnson,1,30,2,See how I felt about Matthew after reading about his lie.
10,2,2,7,7,7,7,7,2,2,2,2,1,None in particular.,2,31,3,Unsure.
11,1,3,5,5,3,4,4,2,2,2,1,1,Unsure.,1,34,2,To see how I felt about a politician and if I thought they were honest or dishonest.
12,1,2,7,7,7,7,7,2,2,1,1,1,Every single politician that I can think of. I feel they are all dishonest and hypocrites.,2,38,1,To see how people feel about honesty in politics
13,2,2,6,6,6,6,6,2,2,2,2,1,I thought of a number of Republican politicians who have claimed the same thing.,2,54,2,Whether my views of a politician would change if I discovered that they had been lying.
14,1,3,5,5,5,6,6,2,3,3,1,1,He seems like most politicians to me.,2,47,2,I think you are looking at how voters interpret information that is inconsistent with a candidate's stated views.
15,1,3,5,6,5,6,3,3,3,2,1,1,"Not specifically anyone, no.",1,33,3,To judge a political candidate. 
16,2,2,7,7,7,7,6,2,2,2,2,1,pretty much all of them,1,35,2,views on a candidate's statements given their actions
17,2,2,6,6,6,6,6,2,2,2,2,1,No.,1,40,2,I couldn't possibly guess.
18,1,3,6,7,7,6,7,1,2,1,1,1,Almost every republican and institutional dem,1,23,2,To see how bad people thought the actions of this candidate and how that impacted voting
19,2,2,6,7,6,6,7,2,2,2,2,1,"Not someone specific, but the majority of  politicians would do the same thing.",1,59,2,The purpose of the study was to measure my willingness to vote for a lying politician.
20,1,2,6,6,6,6,4,2,2,2,1,1,Most of them!,2,34,1,Perceptions of candidates
21,1,2,6,7,5,5,7,2,2,1,1,1,none in particular,2,23,2,to gather participants' opinions on politicians and how lies affect voting decisions 
22,2,1,7,7,7,6,7,1,1,1,2,1,none,2,60,1,specific lie and evaluation of the candidate
23,1,2,7,7,7,7,7,2,2,1,1,1,majority of them lie,2,27,2,To see if we would vote for mr johnson
24,2,3,6,6,6,5,7,2,3,2,2,1,Donald Trump ,1,63,2,Do voters feel it is ethical for politicians to lie?
25,1,6,4,5,5,5,5,3,3,3,1,1,99 % of politicians,2,32,1,To see how catching someone we admired in a lie would change our views on them.
26,1,2,6,6,6,6,6,2,2,2,1,1,none that i can think of,1,36,2,see how we react to politician lying
27,2,2,5,5,5,4,4,3,2,3,2,1,"Yeah, most of them. Most politicians are full of lies and shenanigans",1,44,2,To see if we thought our party choice for office was honest and ethical
28,2,3,5,6,5,5,6,3,3,2,2,1,no,1,36,1,"Our opinion of establishment politicians that take a lot of money from PACs.  Similar to Biden, Hillary Clinton, Bernie Sanders, etc.  And how we feel about liars such as Obama."
