ID,Q793_1,Q658_1,Q658_2,Q658_3,Q658_4,Q658_5,Q668_1,Q668_2,Q668_3,Q846_1,Q846_2,Q847_1,Q796,Q7,Q8,Q789,Q10,Q819,Q820,condition,random,proclamation,advisor,h1,h2,h3,h4,h5,m1,m2,m3,d1,g1,imm
1,Moderately likely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,Somewhat,Once in a while,Once in a while,Somewhat,not really. don't trust any of them,Male,30,Other,How I think about a politics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,72888,absolute,no,4,4,4,4,4,4,4,4,3,3,4
2,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Always,Always,Extremely,Ted Cruz,Male,38,Democrat,no idea,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,77885,absolute,yes,7,7,7,7,7,1,1,1,7,7,7
3,Not very likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Slightly,Slightly,Not very,Sometimes,Almost never,Slightly,"Yes, I feel most politicians are not entirely truthful, especially when it comes to contributions",Female,26,Democrat,To see how people evaluate lying.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,16175,absolute,no,5,5,5,3,6,3,3,2,4,2,3
4,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Always,Always,Extremely,all republicans,Male,55,Democrat,consumer perceptions ,,"Yes, he did lie about his campaign contributions.",5,12520,control,no,7,7,7,7,7,1,1,1,7,7,7
5,Very likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly,Slightly,Slightly,Sometimes,Pretty often,Very,"None in particular, just a lib dem like Pete Buttegudge",Male,26,Democrat,Perceptions of politicans,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,91536,flexible,yes,7,7,7,7,7,3,3,3,4,5,6
6,Slightly likely,Somewhat agree,Agree,Agree,Agree,Strongly agree,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Moderately,All of them.,Male,40,Democrat,To see how I feel about lying politicians.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,77272,absolute,no,5,6,6,6,7,4,4,4,4,4,5
7,Not very likely,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Not very,Not very,Not very,Frequently,Pretty often,Somewhat,YES IT BRINGS ABOUT THE THOUGHT THAT MOST POLITICIANS LIE AND CONNAOT BE TRUSTED,Female,34,Democrat,TO SEE HOW DEDICATED TO OUR PARTY WE ARE IN THE FACE OF LIES,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,44860,absolute,yes,6,7,7,6,7,2,2,2,6,5,4
8,Very likely,Strongly agree,Agree,Agree,Agree,Strongly agree,Moderately,Very,Very,Pretty often,Frequently,Somewhat,donald trump,Male,42,Democrat,idk,,"Yes, he did lie about his campaign contributions.",5,80093,control,no,7,6,6,6,7,5,6,6,5,6,4
9,Not at all likely,Agree,Strongly agree,Agree,Strongly agree,Agree,Not at all,Not at all,Not at all,Frequently,Frequently,Extremely,trump,Male,34,Democrat,not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,99857,flexible,yes,6,7,6,7,6,1,1,1,6,6,7
10,Slightly likely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Slightly,Slightly,Slightly,Once in a while,Once in a while,Slightly,"Not sure, many",Male,26,Other,determine how okay people are with dishonest candidates that are honest ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,33247,flexible,yes,3,3,3,3,3,3,3,3,3,3,3
11,Not very likely,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Pretty often,Pretty often,Moderately,Trump,Female,33,Democrat,To test out our personal ethics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,75080,absolute,yes,6,6,6,5,5,2,2,2,5,5,5
12,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Frequently,Frequently,Very,no,Female,35,Democrat,not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,47194,absolute,no,6,6,6,6,6,2,2,2,6,6,6
13,Not very likely,Somewhat agree,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,Not at all,Not at all,Not at all,Pretty often,Pretty often,Very,trump,Female,33,Democrat,no idea!,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,95909,flexible,yes,5,4,6,7,1,1,1,1,5,5,6
14,Not very likely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not very,Not very,Not very,Sometimes,Always,Very,No.,Male,27,Democrat,To find out what people think about politicians.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,14996,flexible,yes,4,4,4,4,4,2,2,2,4,7,6
15,Not very likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Frequently,Frequently,Extremely,No,Male,50,Democrat,No idea,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,67757,absolute,yes,7,7,7,7,7,1,1,1,6,6,7
16,Moderately likely,Somewhat agree,Agree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat,Slightly,Somewhat,Pretty often,Frequently,Somewhat,no,Male,34,Democrat,To see if I would still trust a politician if they were caught in any kind of lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,43569,flexible,no,5,6,3,4,6,4,3,4,5,6,4
17,Not at all likely,Strongly agree,Agree,Agree,Agree,Somewhat agree,Not very,Not very,Not at all,Frequently,Frequently,Very,just about all of them,Male,47,Other,degree of lying and how acceptable it is,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,18450,flexible,no,7,6,6,6,5,2,2,1,6,6,6
