id,gender,age,group,stance,condition,comm_honest,honest_f,honest_e,honest_l,Honest_compositeGD,m1,m2,m3,M_compositeGD,agree
1,Male,37,sometimes,its sometimes okay to lie,3,5,6,4,4,4.75,5,5,5,5,6
2,Male,35,sometimes,its sometimes okay to lie,3,3,5,3,5,4,2,2,2,2,5
3,Male,28,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,6,6,3,5.25,6,6,6,6,6
4,Male,33,rarely,Its rarely okay to lie,2,6,6,4,5,5.25,6,5,5,5.333333333,7
5,Female,48,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,5,5,2,2,3.5,2,4,4,3.333333333,3
6,Male,42,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,5,6,6,5,5.5,5,5,5,5,4
7,Female,39,control,,10,6,6,6,6,6,6,6,6,6,NA
8,Female,32,never-goodreason,"Its never okay to lie, except if you have a good reason",5,5,6,4,4,4.75,5,5,5,5,6
9,Female,46,control,,10,5,6,3,5,4.75,5,5,5,5,NA
10,Female,28,control,,10,6,6,3,5,5,7,7,6,6.666666667,NA
11,Male,33,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,5,6,5,5,5.25,5,6,6,5.666666667,6
12,Male,28,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,5,2,7,4,4.5,3,6,6,5,6
13,Male,36,never-goodreason,"Its never okay to lie, except if you have a good reason",5,3,4,4,4,3.75,4,4,4,4,3
14,Male,55,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,6,5,4,5.25,6,6,6,6,6
15,Male,42,never,Its never okay to lie,1,6,5,5,6,5.5,5,5,5,5,6
16,Male,29,never,Its never okay to lie,1,6,6,4,5,5.25,6,6,5,5.666666667,2
17,Male,43,never-harm,"Its never okay to lie, except if it prevents harm",4,5,6,3,5,4.75,6,5,7,6,3
18,Male,45,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,6,6,6,6,6,6,6,6,6,6
19,Male,36,rarely,Its rarely okay to lie,2,5,5,5,4,4.75,5,5,4,4.666666667,5
20,Female,40,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,6,2,4,4.25,5,5,5,5,6
21,Female,22,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,3,4,5,4,4,4,4,4,4,6
22,Female,54,never-harm,"Its never okay to lie, except if it prevents harm",4,6,6,4,6,5.5,5,5,5,5,6
23,Male,42,never,Its never okay to lie,1,6,6,6,6,6,6,6,6,6,6
24,Male,44,sometimes,its sometimes okay to lie,3,6,3,6,2,4.25,5,6,5,5.333333333,4
25,Female,64,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,6,3,4,4.5,5,5,5,5,5
26,Female,38,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,6,4,4,5,5,5,5,5,5
27,Non-binary,32,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,6,2,2,3.75,6,6,5,5.666666667,5
28,Male,44,rarely,Its rarely okay to lie,2,5,6,6,5,5.5,6,5,5,5.333333333,5
29,Male,29,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,6,6,6,2,5,6,6,6,6,6
30,Male,39,never,Its never okay to lie,1,6,6,4,6,5.5,5,5,5,5,6
31,Male,50,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,5,5,5,1,4,3,5,4,4,6
32,Male,52,rarely,Its rarely okay to lie,2,4,5,5,4,4.5,4,4,4,4,6
33,Male,33,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,3,4,3,2,3,5,5,5,5,5
34,Male,41,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,6,6,2,3,4.25,6,6,6,6,5
35,Male,40,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,1,4,2,1,2,4,4,3,3.666666667,2
36,Female,33,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,4,3,3,5,3.75,3,3,4,3.333333333,5
37,Female,42,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,4,6,3,4.5,5,5,5,5,6
38,Female,32,never-harm,"Its never okay to lie, except if it prevents harm",4,4,6,4,4,4.5,5,5,4,4.666666667,3
39,Male,30,control,,10,5,6,5,6,5.5,5,5,5,5,NA
40,Male,32,never-harm,"Its never okay to lie, except if it prevents harm",4,6,6,6,6,6,6,7,7,6.666666667,7
41,Female,44,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,6,6,6,6,6,7,6,6,6.333333333,4
42,Female,66,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,6,6,6,3,5.25,6,6,6,6,6
43,Female,57,sometimes,its sometimes okay to lie,3,5,6,5,5,5.25,6,6,6,6,7
44,Male,35,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,4,6,3,3,4,5,5,4,4.666666667,7
45,Female,43,control,,10,5,5,6,5,5.25,5,5,5,5,NA
46,Male,40,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,2,5,2,3.5,6,6,7,6.333333333,6
47,Female,31,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,5,5,4,2,4,3,2,3,2.666666667,1
48,Male,20,never-goodreason,"Its never okay to lie, except if you have a good reason",5,5,6,3,5,4.75,4,4,4,4,5
49,Female,36,never,Its never okay to lie,1,5,4,4,3,4,5,4,5,4.666666667,5
50,Male,58,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,6,7,6,6.25,6,6,6,6,7
51,Female,56,never-harm,"Its never okay to lie, except if it prevents harm",4,6,7,6,7,6.5,7,6,7,6.666666667,6
52,Male,31,control,,10,7,7,7,7,7,7,7,7,7,NA
53,Male,29,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,5,2,5,4.25,6,6,5,5.666666667,6
54,Male,59,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,6,6,3,5,5,5,5,5,5,5
55,Male,40,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,5,6,4,3,4.5,6,6,5,5.666666667,7
56,Female,29,never,Its never okay to lie,1,4,5,3,4,4,5,4,4,4.333333333,5
57,Male,50,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,3,3,3,2,2.75,4,5,4,4.333333333,5
58,Male,55,never-goodreason,"Its never okay to lie, except if you have a good reason",5,3,6,4,5,4.5,4,4,3,3.666666667,3
59,Male,37,control,,10,6,6,4,5,5.25,6,7,7,6.666666667,NA
60,Female,30,never,Its never okay to lie,1,7,7,7,7,7,7,7,7,7,7
61,Female,59,never,Its never okay to lie,1,7,7,7,7,7,7,7,7,7,7
62,Male,53,control,,10,4,5,5,5,4.75,4,5,5,4.666666667,NA
63,Male,28,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,4,6,6,6,5.5,4,4,4,4,5
64,Male,38,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,5,6,6,5,5.5,6,6,5,5.666666667,6
65,Male,27,never-harm,"Its never okay to lie, except if it prevents harm",4,5,6,4,4,4.75,5,5,5,5,5
66,Female,40,sometimes,its sometimes okay to lie,3,3,3,4,2,3,4,4,4,4,5
